e1,1123581321,Emre,Ozgun,20,05385133789,161044101
e2,1123581321,Emre,Ozgun2,20,05385133788,161044102
e3,1123581321,Emre,Ozgun3,20,05385133780,161044103
e4,1123581321,Emre,Ozgun4,20,05385133781,161044104
e5,1123581321,Emre,Ozgun5,20,05385133782,161044105
e6,1123581321,Emre,Ozgun6,20,05385133783,161044106
e7,1123581321,Emre,Ozgun7,20,05385133784,161044107
e8,1123581321,Emre,Ozgun8,20,05385133785,161044108
e9,1123581321,Emre,Ozgun9,20,05385133786,161044109
e10,1123581321,Emre,Ozgun10,20,05385133787,161044110


emreozgunn,14789632,Emre,Ozgun,21,05348796325,5201789678
